id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
97,Rovere Sabbia,"OMNIA Standard Plank prezintă formate elegante, suprafețe autentice matte și performanță fiabilă datorită sistemului de clic stabil și subținător integrat

Plăcile din linia OMNIA Standard Plank se remarcă prin formatul elegant, care îmbunătățește decorul și suprafața vinilică autentică matte, dând podelei un aspect mai natural. Lacul 4V de pe toată perimetrul evidențiază fiecare placă, creând un efect vizual care extinde spațiul

Datorită sistemului de clic practic, simplu și stabil, și clasă de utilizare 34, acest podea este ideal pentru a aborda provocările zilnice cu stil și rezistență. De asemenea, subținătorul integrat îmbunătățește acustica camerei și confortul de mers

Dimensiunile speciale ale plăcilor dau podelei un aspect unic și atractiv. Combinația formatului, structurii și decorului îmbunătățește fiecare detaliu, făcând-o o alegere rafinată pentru orice spațiu",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
98,Rovere Miele,"OMNIA Standard Plank prezintă formate elegante, suprafețe autentice matte și performanță fiabilă datorită sistemului de clic stabil și subținător integrat

Plăcile din linia OMNIA Standard Plank se remarcă prin formatul elegant, care îmbunătățește decorul și suprafața vinilică autentică matte, dând podelei un aspect mai natural. Lacul 4V de pe toată perimetrul evidențiază fiecare placă, creând un efect vizual care extinde spațiul

Datorită sistemului de clic practic, simplu și stabil, și clasă de utilizare 34, acest podea este ideal pentru a aborda provocările zilnice cu stil și rezistență. De asemenea, subținătorul integrat îmbunătățește acustica camerei și confortul de mers

Dimensiunile speciale ale plăcilor dau podelei un aspect unic și atractiv. Combinația formatului, structurii și decorului îmbunătățește fiecare detaliu, făcând-o o alegere rafinată pentru orice spațiu",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
99,Rovere Alb,"OMNIA Standard Plank prezintă formate elegante, suprafețe autentice matte și performanță fiabilă datorită sistemului de clic stabil și subținător integrat

Plăcile din linia OMNIA Standard Plank se remarcă prin formatul elegant, care îmbunătățește decorul și suprafața vinilică autentică matte, dând podelei un aspect mai natural. Lacul 4V de pe toată perimetrul evidențiază fiecare placă, creând un efect vizual care extinde spațiul

Datorită sistemului de clic practic, simplu și stabil, și clasă de utilizare 34, acest podea este ideal pentru a aborda provocările zilnice cu stil și rezistență. De asemenea, subținătorul integrat îmbunătățește acustica camerei și confortul de mers

Dimensiunile speciale ale plăcilor dau podelei un aspect unic și atractiv. Combinația formatului, structurii și decorului îmbunătățește fiecare detaliu, făcând-o o alegere rafinată pentru orice spațiu",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
100,Rovere Duna,"OMNIA Standard Plank prezintă formate elegante, suprafețe autentice matte și performanță fiabilă datorită sistemului de clic stabil și subținător integrat

Plăcile din linia OMNIA Standard Plank se remarcă prin formatul elegant, care îmbunătățește decorul și suprafața vinilică autentică matte, dând podelei un aspect mai natural. Lacul 4V de pe toată perimetrul evidențiază fiecare placă, creând un efect vizual care extinde spațiul

Datorită sistemului de clic practic, simplu și stabil, și clasă de utilizare 34, acest podea este ideal pentru a aborda provocările zilnice cu stil și rezistență. De asemenea, subținătorul integrat îmbunătățește acustica camerei și confortul de mers

Dimensiunile speciale ale plăcilor dau podelei un aspect unic și atractiv. Combinația formatului, structurii și decorului îmbunătățește fiecare detaliu, făcând-o o alegere rafinată pentru orice spațiu",spc,ASPECT LEMN,STANDARD PLANK,False,,Omnia Floor,,,Podea,228 x 1220 mm,5 mm,SPC,,,,1220 mm,228 mm,,omnia
101,Naturale,"JANGAL Straw Floor este un pardosealé ecologic din paie de orez cu finisaj adâncité à pélú și tehnologie UV pentru un design natural și durabil

JANGAL Straw Floor este un pardosealé inovator fãcut din paie de orez, un resursà natural și regenerabil care combinâ durabilitatea cu designul contemporan

Structura adâncité à pélú dãune fiecárui fãșé o texturé autenticà și tactilâ, în timp ce finisajul UV asigurâ rezistențâ și durabilitate pe timp lung

Disponibil în diverse decorațiuni inspirate din lemn, JANGAL Straw Floor este alegerea idealâ pentru cei care cautâ un pardosealé ecologic fãrã sã sacrificeâ eleganța și practicitatea",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
102,Miele,"JANGAL Straw Floor este un pardosealé ecologic din paie de orez cu finisaj adâncité à pélú și tehnologie UV pentru un design natural și durabil

JANGAL Straw Floor este un pardosealé inovator fãcut din paie de orez, un resursà natural și regenerabil care combinâ durabilitatea cu designul contemporan

Structura adâncité à pélú dãune fiecárui fãșé o texturé autenticà și tactilâ, în timp ce finisajul UV asigurâ rezistențâ și durabilitate pe timp lung

Disponibil în diverse decorațiuni inspirate din lemn, JANGAL Straw Floor este alegerea idealâ pentru cei care cautâ un pardosealé ecologic fãrã sã sacrificeâ eleganța și practicitatea",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
103,Dorato,"JANGAL Straw Floor este un pardosealé ecologic din paie de orez cu finisaj adâncité à pélú și tehnologie UV pentru un design natural și durabil

JANGAL Straw Floor este un pardosealé inovator fãcut din paie de orez, un resursà natural și regenerabil care combinâ durabilitatea cu designul contemporan

Structura adâncité à pélú dãune fiecárui fãșé o texturé autenticà și tactilâ, în timp ce finisajul UV asigurâ rezistențâ și durabilitate pe timp lung

Disponibil în diverse decorațiuni inspirate din lemn, JANGAL Straw Floor este alegerea idealâ pentru cei care cautâ un pardosealé ecologic fãrã sã sacrificeâ eleganța și practicitatea",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
104,Spic,"JANGAL Straw Floor este un pardosealé ecologic din paie de orez cu finisaj adâncité à pélú și tehnologie UV pentru un design natural și durabil

JANGAL Straw Floor este un pardosealé inovator fãcut din paie de orez, un resursà natural și regenerabil care combinâ durabilitatea cu designul contemporan

Structura adâncité à pélú dãune fiecárui fãșé o texturé autenticà și tactilâ, în timp ce finisajul UV asigurâ rezistențâ și durabilitate pe timp lung

Disponibil în diverse decorațiuni inspirate din lemn, JANGAL Straw Floor este alegerea idealâ pentru cei care cautâ un pardosealé ecologic fãrã sã sacrificeâ eleganța și practicitatea",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
105,Terra,"JANGAL Straw Floor este un pardosealé ecologic din paie de orez cu finisaj adâncité à pélú și tehnologie UV pentru un design natural și durabil

JANGAL Straw Floor este un pardosealé inovator fãcut din paie de orez, un resursà natural și regenerabil care combinâ durabilitatea cu designul contemporan

Structura adâncité à pélú dãune fiecárui fãșé o texturé autenticà și tactilâ, în timp ce finisajul UV asigurâ rezistențâ și durabilitate pe timp lung

Disponibil în diverse decorațiuni inspirate din lemn, JANGAL Straw Floor este alegerea idealâ pentru cei care cautâ un pardosealé ecologic fãrã sã sacrificeâ eleganța și practicitatea",spc,ASPECT LEMN,JANGAL STRAW FLOOR,False,,Omnia Floor,,,Podea,190 x 1200 mm,11 mm,SPC,,,,1200 mm,190 mm,,omnia
106,Piatră de beton,"OMNIA Standard Tiles XL sunt plãci ceramice XL cu efect de piatrà sau marmurà, proiectate pentru stabilitate, confort acustic și interioruri moderne

Colectia Omnia Standard Tile XL combinâ designul modern cu maximâ funcționalitate. Formatul de 470x830 mm îmbogâțește spațiile cu linii curate și elegante, în timp ce suprafețele cu efect de piatrà sau marmurà oferâ o privire contemporană și versatilâ

Fãcut din SPC cu un suport Rigid Core, asigurâ stabilitate înaltă, rezistențâ excelentă la uzură, impermeabilitate totală și confort acustic superior datoritâ integrării IXPE subțire

Sigur și sănătos, nu conțin phthalate, cu VOC și formaldehidă nedețectate. Ideal pentru medii rezidențiale și comerciale, aducâ împreună stil, tehnologie și practicitate într-o singurâ soluție",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
107,Onix Negru,"OMNIA Standard Tiles XL sunt plãci ceramice XL cu efect de piatrà sau marmurà, proiectate pentru stabilitate, confort acustic și interioruri moderne

Colectia Omnia Standard Tile XL combinâ designul modern cu maximâ funcționalitate. Formatul de 470x830 mm îmbogâțește spațiile cu linii curate și elegante, în timp ce suprafețele cu efect de piatrà sau marmurà oferâ o privire contemporană și versatilâ

Fãcut din SPC cu un suport Rigid Core, asigurâ stabilitate înaltă, rezistențâ excelentă la uzură, impermeabilitate totală și confort acustic superior datoritâ integrării IXPE subțire

Sigur și sănătos, nu conțin phthalate, cu VOC și formaldehidă nedețectate. Ideal pentru medii rezidențiale și comerciale, aducâ împreună stil, tehnologie și practicitate într-o singurâ soluție",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
108,Grafit Glaciar,"OMNIA Standard Tiles XL sunt plãci ceramice XL cu efect de piatrà sau marmurà, proiectate pentru stabilitate, confort acustic și interioruri moderne

Colectia Omnia Standard Tile XL combinâ designul modern cu maximâ funcționalitate. Formatul de 470x830 mm îmbogâțește spațiile cu linii curate și elegante, în timp ce suprafețele cu efect de piatrà sau marmurà oferâ o privire contemporană și versatilâ

Fãcut din SPC cu un suport Rigid Core, asigurâ stabilitate înaltă, rezistențâ excelentă la uzură, impermeabilitate totală și confort acustic superior datoritâ integrării IXPE subțire

Sigur și sănătos, nu conțin phthalate, cu VOC și formaldehidă nedețectate. Ideal pentru medii rezidențiale și comerciale, aducâ împreună stil, tehnologie și practicitate într-o singurâ soluție",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
109,Piatră de artă,"OMNIA Standard Tiles XL sunt plãci ceramice XL cu efect de piatrà sau marmurà, proiectate pentru stabilitate, confort acustic și interioruri moderne

Colectia Omnia Standard Tile XL combinâ designul modern cu maximâ funcționalitate. Formatul de 470x830 mm îmbogâțește spațiile cu linii curate și elegante, în timp ce suprafețele cu efect de piatrà sau marmurà oferâ o privire contemporană și versatilâ

Fãcut din SPC cu un suport Rigid Core, asigurâ stabilitate înaltă, rezistențâ excelentă la uzură, impermeabilitate totală și confort acustic superior datoritâ integrării IXPE subțire

Sigur și sănătos, nu conțin phthalate, cu VOC și formaldehidă nedețectate. Ideal pentru medii rezidențiale și comerciale, aducâ împreună stil, tehnologie și practicitate într-o singurâ soluție",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
110,Grafit Urban,"OMNIA Standard Tiles XL sunt plãci ceramice XL cu efect de piatrà sau marmurà, proiectate pentru stabilitate, confort acustic și interioruri moderne

Colectia Omnia Standard Tile XL combinâ designul modern cu maximâ funcționalitate. Formatul de 470x830 mm îmbogâțește spațiile cu linii curate și elegante, în timp ce suprafețele cu efect de piatrà sau marmurà oferâ o privire contemporană și versatilâ

Fãcut din SPC cu un suport Rigid Core, asigurâ stabilitate înaltă, rezistențâ excelentă la uzură, impermeabilitate totală și confort acustic superior datoritâ integrării IXPE subțire

Sigur și sănătos, nu conțin phthalate, cu VOC și formaldehidă nedețectate. Ideal pentru medii rezidențiale și comerciale, aducâ împreună stil, tehnologie și practicitate într-o singurâ soluție",spc,ASPECT PIATRA,STANDARD TILES,False,,Omnia Floor,,,Podea,470 x 830 mm,5 mm,SPC,,,,830 mm,470 mm,,omnia
111,Grafit Urban Piatră,"REVESTA oferă suprafețe de perete inovatoare inspirate de piatră naturală, combinând tehnologia digitală, sustenabilitatea și eleganța veche

Surfețe inspirate de frumusețea materiei, modelate de inovație

În spatele fiecărei plăci se află o viziune: să creeze suprafețe care inspiră, rezistă și respectă mediul

REVESTA combină căldura piatră naturală cu precizia tehnologiei digitale, creând suprafețe de perete versatile, ușoare și sustenabile. Proiectate pentru a dura și pentru a îmbogăți orice spațiu cu eleganță veche",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
112,Negru Aurum,"REVESTA oferă suprafețe de perete inovatoare inspirate de piatră naturală, combinând tehnologia digitală, sustenabilitatea și eleganța veche

Surfețe inspirate de frumusețea materiei, modelate de inovație

În spatele fiecărei plăci se află o viziune: să creeze suprafețe care inspiră, rezistă și respectă mediul

REVESTA combină căldura piatră naturală cu precizia tehnologiei digitale, creând suprafețe de perete versatile, ușoare și sustenabile. Proiectate pentru a dura și pentru a îmbogăți orice spațiu cu eleganță veche",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
113,Marmură Albâ,"REVESTA oferă suprafețe de perete inovatoare inspirate de piatră naturală, combinând tehnologia digitală, sustenabilitatea și eleganța veche

Surfețe inspirate de frumusețea materiei, modelate de inovație

În spatele fiecărei plăci se află o viziune: să creeze suprafețe care inspiră, rezistă și respectă mediul

REVESTA combină căldura piatră naturală cu precizia tehnologiei digitale, creând suprafețe de perete versatile, ușoare și sustenabile. Proiectate pentru a dura și pentru a îmbogăți orice spațiu cu eleganță veche",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
114,Metal Bronzat,"REVESTA oferă suprafețe de perete inovatoare inspirate de piatră naturală, combinând tehnologia digitală, sustenabilitatea și eleganța veche

Surfețe inspirate de frumusețea materiei, modelate de inovație

În spatele fiecărei plăci se află o viziune: să creeze suprafețe care inspiră, rezistă și respectă mediul

REVESTA combină căldura piatră naturală cu precizia tehnologiei digitale, creând suprafețe de perete versatile, ușoare și sustenabile. Proiectate pentru a dura și pentru a îmbogăți orice spațiu cu eleganță veche",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
115,Piatrà de Piatrà Terra Beige,"REVESTA oferă suprafețe de perete inovatoare inspirate de piatră naturală, combinând tehnologia digitală, sustenabilitatea și eleganța veche

Surfețe inspirate de frumusețea materiei, modelate de inovație

În spatele fiecărei plăci se află o viziune: să creeze suprafețe care inspiră, rezistă și respectă mediul

REVESTA combină căldura piatră naturală cu precizia tehnologiei digitale, creând suprafețe de perete versatile, ușoare și sustenabile. Proiectate pentru a dura și pentru a îmbogăți orice spațiu cu eleganță veche",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
116,Negru Absolut,"REVESTA oferă suprafețe de perete inovatoare inspirate de piatră naturală, combinând tehnologia digitală, sustenabilitatea și eleganța veche

Surfețe inspirate de frumusețea materiei, modelate de inovație

În spatele fiecărei plăci se află o viziune: să creeze suprafețe care inspiră, rezistă și respectă mediul

REVESTA combină căldura piatră naturală cu precizia tehnologiei digitale, creând suprafețe de perete versatile, ușoare și sustenabile. Proiectate pentru a dura și pentru a îmbogăți orice spațiu cu eleganță veche",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
117,Gri Concret,"REVESTA oferă suprafețe de perete inovatoare inspirate de piatră naturală, combinând tehnologia digitală, sustenabilitatea și eleganța veche

Surfețe inspirate de frumusețea materiei, modelate de inovație

În spatele fiecărei plăci se află o viziune: să creeze suprafețe care inspiră, rezistă și respectă mediul

REVESTA combină căldura piatră naturală cu precizia tehnologiei digitale, creând suprafețe de perete versatile, ușoare și sustenabile. Proiectate pentru a dura și pentru a îmbogăți orice spațiu cu eleganță veche",spc,ASPECT PIATRA,REVESTA WALL,False,,Omnia Floor,,,Perete,1120 x 3050 mm,8 mm,SPC,,,,3050 mm,1120 mm,,omnia
400,Tasos high,"Design de chrom elevat, proiectat pentru a însoți lavoarele de blat. O piesă care adaugă înălțime și prezență vizuală.",sanitare,BATERII,Tasos,False,DE BLAT,Bathco,,,Blat,Diameter: 50mm | High: 310mm,,Metal,,,50 mm,,,310 mm,bathco
401,Tasos low,"Versiunea scurtă pentru lavoar, cu finisaj de crom și design esențial. Funcționalitate practică într-un format compact.",sanitare,BATERII,Tasos,False,DE BLAT,Bathco,,,Blat,Diameter: 50mm | High: 180mm,,Metal,,,50 mm,,,180 mm,bathco
402,Milos înalt,"Grifon înalt pentru a fi combinat cu lavoare de blat. Finisaj negru, metal gri sau bronz.",sanitare,BATERII,Milos,False,DE BLAT,Bathco,,,Blat,Diameter: 52mm | High: 330mm,,Metal,,,52 mm,,,330 mm,bathco
403,Milos scurt,"Lavoar cu spătar scurt, proiectat pentru a nu ocupa mult spațiu pe blat. Finisaj de crom, negru, metal gri sau bronz.",sanitare,BATERII,Milos,False,DE BLAT,Bathco,,,Blat,Diameter: 52mm | High: 200mm,,Metal,,,52 mm,,,200 mm,bathco
404,Athenas mediu,Echilibru între proporții și practicitate. Un grifon disponibil în acoperișul de acoperiș sau negru mat care se adaptează cu versatilitate la diverse lavoare.,sanitare,BATERII,Athenas,False,DE BLAT,Bathco,,,Blat,Diameter: 40mm | High: 219mm,,Echipamente sanitare,,,40 mm,,,219 mm,bathco
405,Athenas scurt,"Format compact pentru lavoare de blat. Disponibil în oțel lustruit sau negru mat, combină durabilitate și simplismă cu design neîntâlnit.",sanitare,BATERII,Athenas,False,DE BLAT,Bathco,,,Blat,Diameter: 40mm | High: 157mm,,Metal,,,40 mm,,,157 mm,bathco
406,Tasos încastrat,Propunerea încastrată cu estetică minimalistă. O opțiune care eliberează suprafața de blat și aduce continuitate spațiului.,sanitare,BATERII,Tasos,False,DE PERETE,Bathco,,,Pe perete,High: 248mm,,Echipamente sanitare,,,,,,248 mm,bathco
407,Milos încastrat,"Lavaboz încastrat cu linii curate. Finisaj chrome, negru, metal gri sau bronz.",sanitare,BATERII,Milos,False,DE PERETE,Bathco,,,Pe perete,Length: 210mm | Width: 100mm | High: 230mm,,Metal,,,,210 mm,100 mm,230 mm,bathco
408,Athenas încastrat,"O propunere minimalistă care eliberează blatul. Disponibil în acoperirea de oțel, garantează precizie și un design curat.",sanitare,BATERII,Athenas,False,DE PERETE,Bathco,,,Pe perete,Length: 130mm | Width: 58mm | High: 223mm,,Echipamente sanitare,,,,130 mm,58 mm,223 mm,bathco
